Model,Accuracy,Precision,Recall,F1 Score,Parameters
CNN_BiLSTM,0.9417870283925531,0.9206678666312528,0.943789047967217,0.9314263320362306,295692
CNN_ResBiLSTM,0.9204788840683179,0.8795741930476974,0.9431514116236587,0.9077888249129238,295692
XGBoost,0.9187764292382887,0.8952357799870913,0.9022490293730664,0.8983142257151422,300
MULTI_HEAD_CNN_ResBiLSTM,0.9193256082157175,0.8893871459587425,0.9131177413120554,0.8979475451735793,658188
CNN_ResBiGRU,0.8884068317864792,0.8565227378102018,0.9453506136794974,0.8891730185046759,244492
MULTI_HEAD_CNN_BiLSTM,0.9093305508265144,0.8677622125636608,0.9213447122516699,0.8879950813386537,608908
CNN_BiGRU,0.8904937119007085,0.8359294855512732,0.9406588530255293,0.8808297613906615,244492
Rocket,0.8885715854797078,0.9344043401684887,0.7869395611398592,0.8417360778799479,1000
RandomForest,0.7904882201109341,0.8045910996458555,0.861998059754597,0.8118595073896205,300
